ID,Page,Category,Crop,Issue_Type,Specific_Name,Pathogen/Pest/Nutrient_Type,Symptoms,Diagnostic_Steps,Recommendations,Image_Path,Source_Label,Nearby_Text
1,15,pest,General,pest,General diagnosis process,,"If the cause were an abiotic one you would expect to see a much more general yellowing or browning of the 
leaf without the sharp divide between healthy and unhealthy plant material | •	 This symptom is not caused by insect or mite damage; there is no evidence of chewing, no webbing seen and 
Robert Reeder, CABI",,,images/page15_image1.png,page15_image1,cause. If the cause were an abiotic one you would expect to see a much more general yellowing or browning of the leaf without the sharp divide between healthy and unhealthy plant material. We can 
2,15,pest,General,pest,General diagnosis process,,"or mite damage; there is no evidence of chewing, no webbing seen and 
atode, virus or phytoplasma, as these organisms do not cause leaf spots",,,images/page15_image1.png,page15_image1,"or mite damage; there is no evidence of chewing, no webbing seen and atode, virus or phytoplasma, as these organisms do not cause leaf spots. mal or parasitic plants or weeds, as there is no evidence"
3,20,pest,General,pest,Visual diagnostic key,,BEETLE (GRUB) FLY (M 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm,,,images/page20_image1.png,page20_image1,BEETLE (GRUB) FLY (M 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm
4,20,pest,General,pest,Visual diagnostic key,,MITE 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm,,,images/page20_image1.png,page20_image1,MITE 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm
5,20,pest,General,pest,Visual diagnostic key,,THRIPS PLAN BEETLE (GRUB) FLY (M 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm 5 5 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm,,,images/page20_image1.png,page20_image1,THRIPS PLAN BEETLE (GRUB) FLY (M 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm 5 5 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm
6,20,pest,General,pest,Visual diagnostic key,,PLANT BUG PLANT FLY (MAGGOT) MITE 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm,,,images/page20_image1.png,page20_image1,PLANT BUG PLANT FLY (MAGGOT) MITE 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm
7,20,pest,General,pest,plant hopper,plant hopper,PLANT HOPPER MITE 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm,,,images/page20_image1.png,page20_image1,PLANT HOPPER MITE 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm
8,20,pest,General,pest,Visual diagnostic key,,WHITEFLY GRASS The size of the insect is indicated by the green scale on 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm 5 10 15 20 25 30 35 40 45 50 55 60 65 70 ,,,images/page20_image1.png,page20_image1,WHITEFLY GRASS The size of the insect is indicated by the green scale on 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 mm 5 10 15 20 25 30 35 40 45 50 55 60 65 70 
9,30,pest,tobacco,pest,"like 
stink bug","like 
stink bug","Not usually associated with sucking insects 
ed 
em 
r like 
Stink bug damage on tobacco",,,images/page30_image1.png,page30_image1,of stem borers and the larvae and adults of ts. Not usually associated with sucking insects ed em r like Stink bug damage on tobacco. The insect injects a toxin into the plant causing extensive
10,34,pest,Rice,pest,Tungro,Virus,"Natural features of the leaf could be mistaken for fungal fruiting bodies. Phil Taylor, CABI Insect both w Phil Tay Ensure that the ‘fruiting bodies’ are not natural features of the leaf (l",,,images/page34_image1.png,page34_image1,"Natural features of the leaf could be mistaken for fungal fruiting bodies. Phil Taylor, CABI Insect both w Phil Tay Ensure that the ‘fruiting bodies’ are not natural features of the leaf (l"
