crop,symptom,diagnosis,category,source_url,management,bangla_management,image_path,confidence
rice,yellowing_leaves,"Brown Plant Hopper (BPH) Infestation","Pest","https://dae.gov.bd/krishi-janala-2024","Apply neem oil (নিম তেল) at 5ml/liter water; Use Trichoderma (ট্রাইকোডার্মা) as biocontrol agent","নিম তেল 5ml/লিটার পানিতে ছিটিয়ে দিন; ট্রাইকোডার্মা বায়োকন্ট্রোল এজেন্ট হিসেবে ব্যবহার করুন","Gallary/rice/yellowing_bph.jpg",85
rice,stunted_growth,"Zinc Deficiency","Deficiency","https://barc.gov.bd/fertilizer-guide-2024","Apply Zinc sulfate (জিংক সালফেট) at 10 kg/ha; Foliar spray with 0.5% ZnSO₄ solution","জিংক সালফেট 10 কেজি/হেক্টর প্রয়োগ করুন; 0.5% ZnSO₄ দ্রবণে ফোলিয়ার স্প্রে করুন","Gallary/rice/stunted_zinc.jpg",80
rice,brown_spots,"Leaf Blast Disease","Disease","https://brri.gov.bd/rice-disease-manual","Spray with Carbendazim (কারবেনডাজিম) at 1g/liter water; Maintain proper water management","কারবেনডাজিম 1g/লিটার পানিতে স্প্রে করুন; উপযুক্ত জল ব্যবস্থাপনা রাখুন","Gallary/rice/brown_blast.jpg",75
wheat,yellow_stripes,"Stripe Rust Disease","Disease","https://bari.gov.bd/wheat-disease-guide","Spray with Tebuconazole (টেবুকোনাজোল) at 0.5g/liter; Plant rust-resistant varieties","টেবুকোনাজোল 0.5g/লিটার স্প্রে করুন; ধানের কাঁটা প্রতিরোধী জাত চাষ করুন","Gallary/wheat/yellow_rust.jpg",70
wheat,white_heads,"Fusarium Head Blight","Disease","https://dae.gov.bd/wheat-disease-management","Crop rotation with non-host crops; Seed treatment with carbendazim","অ-মেজবান ফসলের সাথে ফসল ঘোরান; বীজ চিকিৎসা কারবেনডাজিম দিয়ে করুন","Gallary/wheat/white_head.jpg",65
potato,black_rot,"Black Rot Disease","Disease","https://bari.gov.bd/potato-disease-guide","Use certified disease-free seed tubers; Apply copper oxychloride (কপার অক্সিক্লোরাইড) at 2g/liter","সার্টিফাইড রোগমুক্ত বীজ আলু ব্যবহার করুন; কপার অক্সিক্লোরাইড 2g/লিটার প্রয়োগ করুন","Gallary/potato/black_rot.jpg",75
potato,leaf_curling,"Potato Leaf Roll Virus","Disease","https://brri.gov.bd/viral-diseases-potatoes","Use virus-free seed potatoes; Control aphid vectors with neem oil","ভাইরাসমুক্ত বীজ আলু ব্যবহার করুন; নিম তেল দিয়ে এফিড ভেক্টর নিয়ন্ত্রণ করুন","Gallary/potato/leaf_curl.jpg",70
general,yellowing,"Nitrogen Deficiency","Deficiency","https://barc.gov.bd/nutrient-deficiency-symptoms","Apply urea (ইউরিয়া) at 50 kg/ha; Foliar spray with 2% urea solution","ইউরিয়া 50 কেজি/হেক্টর প্রয়োগ করুন; 2% ইউরিয়া দ্রবণে ফোলিয়ার স্প্রে করুন","Gallary/general/nitrogen_deficiency.jpg",80
general,wilting,"Water Stress or Root Damage","Abiotic","https://dae.gov.bd/crop-water-management","Adjust irrigation schedule based on soil moisture; Improve soil structure with organic matter","মাটির আর্দ্রতা অনুযায়ী সেচ সময়সূচি সামঞ্জস্য করুন; জৈব পদার্থ দিয়ে মাটির গঠন উন্নত করুন","Gallary/general/wilting_stress.jpg",65
general,spots,"Fungal Leaf Spot","Disease","https://bari.gov.bd/general-fungal-diseases","Spray with Mancozeb (ম্যানকোজেব) at 2g/liter; Ensure proper plant spacing","ম্যানকোজেব 2g/লিটার স্প্রে করুন; উপযুক্ত গাছের দূরত্ব রাখুন","Gallary/general/fungal_spot.jpg",70
rice,white_spots,"Sheath Blight","Disease","https://brri.gov.bd/rice-disease-manual","Spray with Validamycin (ভ্যালিডামাইসিন) at 1g/liter; Remove and destroy infected plants","ভ্যালিডামাইসিন 1g/লিটার স্প্রে করুন; আক্রান্ত গাছ সরিয়ে ফেলুন","Gallary/rice/white_sheath.jpg",75
wheat,brown_patches,"Septoria Leaf Spot","Disease","https://bari.gov.bd/wheat-disease-guide","Spray with Chlorothalonil (ক্লোরোথ্যালনিল) at 2g/liter; Avoid excessive nitrogen","ক্লোরোথ্যালনিল 2g/লিটার স্প্রে করুন; অতিরিক্ত নাইট্রোজেন এড়িয়ে চলুন","Gallary/wheat/brown_septoria.jpg",65
potato,tuber_scab,"Common Scab","Disease","https://bari.gov.bd/potato-disease-guide","Use resistant varieties; Maintain soil pH 5.0-5.5; Apply boron fertilizer","প্রতিরোধী জাত ব্যবহার করুন; মাটির pH 5.0-5.5 রাখুন; বোরন সার প্রয়োগ করুন","Gallary/potato/tuber_scab.jpg",70
