image_id,crop,symptom,diagnosis,category,training_module,image_path,public_url,description,bangla_description
img_001,rice,yellowing_leaves,"Brown Plant Hopper","Pest",1,"Gallary/rice/yellowing_bph.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/rice/yellowing_bph.jpg","Rice leaves with yellowing and brown spots - BPH infestation","ধানের পাতায় হলুদ ও বাদামি ছোপ - মাজরা পোকা আক্রমণ"
img_002,rice,stunted_growth,"Zinc Deficiency","Deficiency",2,"Gallary/rice/stunted_zinc.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/rice/stunted_zinc.jpg","Stunted rice plants with yellow leaves - Zinc deficiency","সংকুচিত ধান গাছ ও হলুদ পাতা - জিংক অভাব"
img_003,rice,brown_spots,"Leaf Blast Disease","Disease",3,"Gallary/rice/brown_blast.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/rice/brown_blast.jpg","Rice leaves with brown elliptical spots - Leaf blast","ধানের পাতায় বাদামি উপবৃত্তাকার ছোপ - পাতা ব্লাস্ট"
img_004,wheat,yellow_stripes,"Stripe Rust Disease","Disease",1,"Gallary/wheat/yellow_rust.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/wheat/yellow_rust.jpg","Wheat leaves with yellow stripes - Stripe rust","গমের পাতায় হলুদ স্ট্রাইপ - স্ট্রাইপ রাস্ট"
img_005,wheat,white_heads,"Fusarium Head Blight","Disease",2,"Gallary/wheat/white_head.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/wheat/white_head.jpg","Wheat heads turning white - Fusarium blight","গমের মাথা সাদা হয়ে যাচ্ছে - ফিউসারিয়াম ব্লাইট"
img_006,potato,black_rot,"Black Rot Disease","Disease",3,"Gallary/potato/black_rot.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/potato/black_rot.jpg","Potato tubers with black rot symptoms","আলুর কন্দে কালো পচন লক্ষণ"
img_007,potato,leaf_curling,"Potato Leaf Roll Virus","Disease",4,"Gallary/potato/leaf_curl.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/potato/leaf_curl.jpg","Potato leaves curling upward - Leaf roll virus","আলুর পাতা উপরের দিকে বাঁকছে - পাতা রোল ভাইরাস"
img_008,general,yellowing,"Nitrogen Deficiency","Deficiency",1,"Gallary/general/nitrogen_deficiency.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/general/nitrogen_deficiency.jpg","General yellowing of leaves - Nitrogen deficiency","পাতার সাধারণ হলুদ হওয়া - নাইট্রোজেন অভাব"
img_009,general,wilting,"Water Stress","Abiotic",2,"Gallary/general/wilting_stress.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/general/wilting_stress.jpg","Plants wilting due to water stress", "গাছ পানির অভাবে শুকিয়ে যাচ্ছে"
img_010,general,spots,"Fungal Leaf Spot","Disease",3,"Gallary/general/fungal_spot.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/general/fungal_spot.jpg","Leaves with fungal spots - Common leaf spot","পাতায় ছত্রাকজনিত ছোপ - সাধারণ পাতা ছোপ"
img_011,rice,white_spots,"Sheath Blight","Disease",4,"Gallary/rice/white_sheath.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/rice/white_sheath.jpg","Rice sheath with white spots - Sheath blight","ধানের কান্ডে সাদা ছোপ - শিথ ব্লাইট"
img_012,wheat,brown_patches,"Septoria Leaf Spot","Disease",1,"Gallary/wheat/brown_septoria.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/wheat/brown_septoria.jpg","Wheat leaves with brown patches - Septoria spot","গমের পাতায় বাদামি প্যাচ - সেপটোরিয়া ছোপ"
img_013,potato,tuber_scab,"Common Scab","Disease",2,"Gallary/potato/tuber_scab.jpg","https://nmngzjrrysjzuxfcklrk.supabase.co/storage/v1/object/public/Gallary/potato/tuber_scab.jpg","Potato tubers with scab symptoms","আলুর কন্দে স্ক্যাব লক্ষণ"
